year,global,london,vilnius,Global,"London, UK","Vilnius, Lithuania"
1750,8.72,10.25,6.42,,,
1751,7.98,9.99,6.17,,,
1752,5.78,6.54,0.66,,,
1753,8.39,9.42,5.31,,,
1754,8.47,9.2,5.3,,,
1755,8.36,8.95,5.19,,,
1756,8.85,9.42,5.87,,,
1757,9.02,9.34,5.94,,,
1758,6.74,8.85,4.06,,,
1759,7.99,9.8,5.32,8.03,9.176,5.024
1760,7.19,9.26,4.45,7.877,9.077,4.827
1761,8.77,9.69,5.82,7.956,9.047,4.792
1762,8.61,8.99,5.43,8.239,9.292,5.269
1763,7.5,8.75,4.61,8.15,9.225,5.199
1764,8.4,9.14,5.8,8.143,9.219,5.249
1765,8.25,8.95,5.57,8.132,9.219,5.287
1766,8.41,9.07,5.72,8.088,9.184,5.272
1767,8.22,8.98,5.1,8.008,9.148,5.188
1768,6.78,9.12,4.4,8.012,9.175,5.222
1769,7.69,9.04,5.2,7.982,9.099,5.21
1770,7.69,9.03,5.37,8.032,9.076,5.302
1771,7.85,8.78,4.31,7.94,8.985,5.151
1772,8.19,9.36,5.37,7.898,9.022,5.145
1773,8.22,9.33,6.47,7.97,9.08,5.331
1774,8.77,9.1,5.39,8.007,9.076,5.29
1775,9.18,10.1,6.89,8.1,9.191,5.422
1776,8.3,9.21,5.56,8.089,9.205,5.406
1777,8.26,9.25,5.01,8.093,9.232,5.397
1778,8.54,9.8,5.87,8.269,9.3,5.544
1779,8.98,10.76,7.05,8.398,9.472,5.729
1780,9.43,9.67,5.16,8.572,9.536,5.708
1781,8.1,10.41,5.97,8.597,9.699,5.874
1782,7.9,8.44,4.62,8.568,9.607,5.799
1783,7.68,9.97,5.94,8.514,9.671,5.746
1784,7.86,8.29,4.89,8.423,9.59,5.696
1785,7.36,8.54,3.83,8.241,9.434,5.39
1786,8.26,8.35,4.3,8.237,9.348,5.264
1787,8.03,9.53,5.58,8.214,9.376,5.321
1788,8.45,9.39,4.5,8.205,9.335,5.184
1789,8.33,9.12,6.18,8.14,9.171,5.097
1790,7.98,9.67,5.6,7.995,9.171,5.141
1791,8.23,9.59,6.68,8.008,9.089,5.212
1792,8.09,9.56,5.37,8.027,9.201,5.287
1793,8.23,9.59,5.81,8.082,9.163,5.274
1794,8.53,10,6.65,8.149,9.334,5.45
1795,8.35,9.19,5.2,8.248,9.399,5.587
1796,8.27,9.5,5.53,8.249,9.514,5.71
1797,8.51,9.62,7.21,8.297,9.523,5.873
1798,8.67,9.83,6.26,8.319,9.567,6.049
1799,8.51,7.94,3.79,8.337,9.449,5.81
1800,8.48,9.32,5.03,8.387,9.414,5.753
1801,8.59,9.68,6.38,8.423,9.423,5.723
1802,8.58,9.31,6.01,8.472,9.398,5.787
1803,8.5,8.79,4.31,8.499,9.318,5.637
1804,8.84,9.37,5.15,8.53,9.255,5.487
1805,8.56,8.56,4.65,8.551,9.192,5.432
1806,8.43,9.87,5.73,8.567,9.229,5.452
1807,8.28,9.03,5.86,8.544,9.17,5.317
1808,7.63,8.91,4.87,8.44,9.078,5.178
1809,7.08,8.99,4.14,8.297,9.183,5.213
1810,6.92,8.97,4.46,8.141,9.148,5.156
1811,6.86,10.1,5.88,7.968,9.19,5.106
1812,7.05,8.58,3.74,7.815,9.117,4.879
1813,7.74,9.13,5.08,7.739,9.151,4.956
1814,7.59,7.93,4.18,7.614,9.007,4.859
1815,7.24,8.99,4.37,7.482,9.05,4.831
1816,6.94,7.98,4.61,7.333,8.861,4.719
1817,6.98,8.95,5.33,7.203,8.853,4.666
1818,7.83,9.88,5.55,7.223,8.95,4.734
1819,7.37,9.58,5.8,7.252,9.009,4.9
1820,7.62,8.61,4.8,7.322,8.973,4.934
1821,8.09,9.63,5.72,7.445,8.926,4.918
1822,8.19,10.36,6.97,7.559,9.104,5.241
1823,7.72,8.8,5.43,7.557,9.071,5.276
1824,8.55,9.65,6.64,7.653,9.243,5.522
1825,8.39,9.98,5.72,7.768,9.342,5.657
1826,8.36,10.12,6.41,7.91,9.556,5.837
1827,8.81,9.37,6.09,8.093,9.598,5.913
1828,8.17,10.1,4.85,8.127,9.62,5.843
1829,7.94,7.95,3.17,8.184,9.457,5.58
1830,8.52,8.78,4.84,8.274,9.474,5.584
1831,7.64,10.01,5.39,8.229,9.512,5.551
1832,7.45,9.24,4.3,8.155,9.4,5.284
1833,8.01,9.4,5.84,8.184,9.46,5.325
1834,8.15,10.59,6.48,8.144,9.554,5.309
1835,7.39,9.48,5.15,8.044,9.504,5.252
1836,7.7,9.04,5.55,7.978,9.396,5.166
1837,7.38,8.85,4.95,7.835,9.344,5.052
1838,7.51,8.05,3.83,7.769,9.139,4.95
1839,7.63,8.89,4.68,7.738,9.233,5.101
1840,7.8,8.68,4.07,7.666,9.223,5.024
1841,7.69,9.12,5.61,7.671,9.134,5.046
1842,8.02,9.43,4.81,7.728,9.153,5.097
1843,8.17,9.4,6.17,7.744,9.153,5.13
1844,7.65,8.85,4.05,7.694,8.979,4.887
1845,7.85,8.46,4.4,7.74,8.877,4.812
1846,8.55,10.48,5.76,7.825,9.021,4.833
1847,8.09,9.24,4.93,7.896,9.06,4.831
1848,7.98,9.52,5.82,7.943,9.207,5.03
1849,7.98,9.42,4.5,7.978,9.26,5.012
1850,7.9,9.06,5,7.988,9.298,5.105
1851,8.18,9.17,5.71,8.037,9.303,5.115
1852,8.1,9.96,4.92,8.045,9.356,5.126
1853,8.04,8.44,5.03,8.032,9.26,5.012
1854,8.21,9.3,5.49,8.088,9.305,5.156
1855,8.11,8.03,4.07,8.114,9.262,5.123
1856,8,9.17,4.62,8.059,9.131,5.009
1857,7.76,10.21,5.71,8.026,9.228,5.087
1858,8.1,9.2,5.41,8.038,9.196,5.046
1859,8.25,9.97,6.45,8.065,9.251,5.241
1860,7.96,8.17,5.32,8.071,9.162,5.273
1861,7.85,9.42,5.21,8.038,9.187,5.223
1862,7.56,9.56,3.52,7.984,9.147,5.083
1863,8.11,9.9,6.77,7.991,9.293,5.257
1864,7.98,8.74,4.35,7.968,9.237,5.143
1865,8.18,9.82,4.92,7.975,9.416,5.228
1866,8.29,9.69,6.1,8.004,9.468,5.376
1867,8.44,9.06,3.79,8.072,9.353,5.184
1868,8.25,10.5,5.99,8.087,9.483,5.242
1869,8.43,9.46,6.03,8.105,9.432,5.2
1870,8.2,8.94,3.93,8.129,9.509,5.061
1871,8.12,8.97,3.51,8.156,9.464,4.891
1872,8.19,10.07,6.66,8.219,9.515,5.205
1873,8.35,9.26,6.09,8.243,9.451,5.137
1874,8.43,9.37,5.47,8.288,9.514,5.249
1875,7.86,9.43,3.29,8.256,9.475,5.086
1876,8.08,9.75,4.33,8.235,9.481,4.909
1877,8.54,9.43,4.55,8.245,9.518,4.985
1878,8.83,9.47,6.15,8.303,9.415,5.001
1879,8.17,7.62,4.67,8.277,9.231,4.865
1880,8.12,9.35,5.16,8.269,9.272,4.988
1881,8.27,8.71,4.07,8.284,9.246,5.044
1882,8.13,9.43,6.32,8.278,9.182,5.01
1883,7.98,9.21,5.29,8.241,9.177,4.93
1884,7.77,9.86,5.56,8.175,9.226,4.939
1885,7.92,8.68,5.35,8.181,9.151,5.145
1886,7.95,8.8,5.24,8.168,9.056,5.236
1887,7.91,8.39,5.53,8.105,8.952,5.334
1888,8.09,8.31,3.76,8.031,8.836,5.095
1889,8.32,8.91,5,8.046,8.965,5.128
1890,7.97,8.86,5.91,8.031,8.916,5.203
1891,8.02,8.65,5.52,8.006,8.91,5.348
1892,8.07,8.35,4.57,8,8.802,5.173
1893,8.06,10.05,3.95,8.008,8.886,5.039
1894,8.16,9.42,5.77,8.047,8.842,5.06
1895,8.15,8.91,5,8.07,8.865,5.025
1896,8.21,9.41,5.76,8.096,8.926,5.077
1897,8.29,9.5,6.04,8.134,9.037,5.128
1898,8.18,10.08,5.93,8.143,9.214,5.345
1899,8.4,9.85,5.5,8.151,9.308,5.395
1900,8.5,9.73,5.41,8.204,9.395,5.345
1901,8.54,9.2,5.91,8.256,9.45,5.384
1902,8.3,8.95,3.78,8.279,9.51,5.305
1903,8.22,9.45,6.48,8.295,9.45,5.558
1904,8.09,9.18,4.7,8.288,9.426,5.451
1905,8.23,9.25,5.58,8.296,9.46,5.509
1906,8.38,9.62,6.16,8.313,9.481,5.549
1907,7.95,9.03,4.34,8.279,9.434,5.379
1908,8.19,9.31,4.86,8.28,9.357,5.272
1909,8.18,8.7,4.76,8.258,9.242,5.198
1910,8.22,9.39,6.74,8.23,9.208,5.331
1911,8.18,10.22,5.75,8.194,9.31,5.315
1912,8.17,9.57,4.86,8.181,9.372,5.423
1913,8.3,9.89,6.42,8.189,9.416,5.417
1914,8.59,9.98,6.35,8.239,9.496,5.582
1915,8.59,9.07,4.64,8.275,9.478,5.488
1916,8.23,9.28,5.75,8.26,9.444,5.447
1917,8.02,8.65,4.63,8.267,9.406,5.476
1918,8.13,9.6,5.8,8.261,9.435,5.57
1919,8.38,8.48,4.77,8.281,9.413,5.571
1920,8.36,9.67,6.4,8.295,9.441,5.537
1921,8.57,10.6,5.91,8.334,9.479,5.553
1922,8.41,8.81,4.58,8.358,9.403,5.525
1923,8.42,9.17,5.18,8.37,9.331,5.401
1924,8.51,9.34,5.07,8.362,9.267,5.273
1925,8.53,9.31,6.44,8.356,9.291,5.453
1926,8.73,9.83,5.5,8.406,9.346,5.428
1927,8.52,9.25,5.09,8.456,9.406,5.474
1928,8.63,9.69,5.13,8.506,9.415,5.407
1929,8.24,9.09,4.39,8.492,9.476,5.369
1930,8.63,9.7,6.37,8.519,9.479,5.366
1931,8.72,9.12,4.71,8.534,9.331,5.246
1932,8.71,9.57,6.29,8.564,9.407,5.417
1933,8.34,9.96,4.49,8.556,9.486,5.348
1934,8.63,10.11,7.47,8.568,9.563,5.588
1935,8.52,9.9,5.81,8.567,9.622,5.525
1936,8.55,9.43,6.74,8.549,9.582,5.649
1937,8.7,9.69,6.41,8.567,9.626,5.781
1938,8.86,10.18,7.03,8.59,9.675,5.971
1939,8.76,9.77,6.47,8.642,9.743,6.179
1940,8.76,9.06,3.68,8.655,9.679,5.91
1941,8.77,9.09,3.33,8.66,9.676,5.772
1942,8.73,9.1,3.43,8.662,9.629,5.486
